Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,79.0,38.0
Hospital São Luis,50.0,0.0
Maternidade Frei Damiao - UNIDADE II,42.0,7.0
Prontovida,34.0,46.0
Hospital de Clínicas do Estado da Paraíba,32.0,57.0
Maternidade Frei Damiao - UNIDADE I,31.0,6.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital Municipal Santa Isabel,29.0,68.0
Complexo Hospitalar Dep Janduhy Carneiro,28.0,19.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,25.0,18.0
Hospital de Trauma de Campina Grande,20.0,3.0
Maternidade Frei Damiao,19.0,3.0
Hospital Wenceslau Lopes,18.0,9.0
Instituto De Saude Elpidio De Almeida,16.0,6.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,14.0,17.0
Complexo Hospitalar de Mangabeira (Ortotrauma),14.0,10.0
Hospital Universitario Lauro Wanderley,14.0,10.0
Hospital Metropolitano Dom Jose Maria Pires,14.0,36.0
Hospital Regional De Cajazeiras,13.0,9.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Geral de Mamanguape,12.0,7.0
Hospital João XXIII,10.0,5.0
Hospital Regional de Monteiro,10.0,3.0
Hospital Distrital Senador Ruy Carneiro,9.0,9.0
Hospital Regional de Guarabira,9.0,4.0
Hospital Infantil Noaldo Leite,6.0,2.0
Antônio Targino,5.0,8.0
Hospital Universitário HUJB,4.0,0.0
Hospital Municipal Valentina,2.0,3.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
Hospital Regional de Sousa,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,5.0
Hospital São Vicente de Paulo,0.0,8.0
